Property Reference Number,Ratepayer,Address,Postcode,Latitude,Longitude,Property start date,Rateable value,VOA code,VOA description,Liability start date,Occupied,Occupied description,Reaons Empty,Empty from,Mandatory Reliefs,Date From,DISC Reliefs,Date From,Retail Relief,Other Reliefs,Date From, Total Net Liability ,Local Reval Relief
30155,Keighley & Ilkley Conservative Association,"1st Floor, Churchill House, North Street, Keighley, BD21 3AF",BD21 3AF,53.8695,-1.90932,1999-03-22,5200,CO,OFFICES AND PREMISES,2017-08-12,Y,Occupied,,,Small Business Rates Relief,12/08/2017,,,,,, ‹¨«-   ,
30164,Jcdecaux Uk Ltd,"Advert Right No 67, Bridge Street, Bradford, BD1 1JE",BD1 1JE,53.7917,-1.75145,1998-04-05,1200,CA,ADVERTISING RIGHT AND PREMISES,2019-04-01,Y,Occupied,,,,,,,,,, ‹¨«419.82 ,
30165,Jcdecaux Uk Ltd,"Advert Right No 68, Hall Ings, Bradford, BD1 1DU",BD1 1DU,53.7938,-1.74945,1998-04-05,800,CA,ADVERTISING RIGHT AND PREMISES,2019-04-01,Y,Occupied,,,,,,,,,, ‹¨«392.80 ,
30166,Jcdecaux Uk Ltd,"Advert Right No 71, Barry Street, Bradford, BD1 2AL",BD1 2AL,53.79457,-1.75745,1998-04-05,1200,CA,ADVERTISING RIGHT AND PREMISES,2019-04-01,Y,Occupied,,,,,,,,,, ‹¨«419.82 ,
30167,Primesight Limited,"Advert Right Yd0701018000, O-S, 285, Killinghall Road, Bradford, BD3 7JE",BD3 7JE,53.79925,-1.72117,1999-04-01,400,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«196.40 ,
30169,Jcdecaux Uk Ltd,"Advert Right No 72, John Street, Bradford, BD1 3JS",BD1 3JS,53.79611,-1.75715,1998-04-05,1200,CA,ADVERTISING RIGHT AND PREMISES,2019-04-01,Y,Occupied,,,,,,,,,, ‹¨«548.99 ,
30170,Jcdecaux Uk Ltd,"Advert Right No 64, Canal Road, Bradford, BD1 4AT",BD1 4AT,53.79721,-1.7496,1996-04-17,800,CA,ADVERTISING RIGHT AND PREMISES,2019-04-01,Y,Occupied,,,,,,,,,, ‹¨«392.80 ,
30171,Jcdecaux Uk Ltd,"Advert Right No 75, Leeds Road, Bradford, BD1 1DR",BD1 1DR,53.79415,-1.74834,1998-04-05,800,CA,ADVERTISING RIGHT AND PREMISES,2019-04-01,Y,Occupied,,,,,,,,,, ‹¨«392.80 ,
30173,Jcdecaux Uk Ltd,"Advertising Column, Adj Norkfolk Gardens, Hall Ings, Bradford, BD1 1DU",BD1 1DU,53.7938,-1.74945,1997-09-07,1800,CA,ADVERTISING RIGHT AND PREMISES,2019-04-01,Y,Occupied,,,,,,,,,, ‹¨«626.50 ,
30174,Jcdecaux Uk Ltd,"Advertising Column On, Drewton Road, Bradford, BD1 4AT",BD1 4AT,53.79721,-1.7496,1997-10-12,1800,CA,ADVERTISING RIGHT AND PREMISES,2019-04-01,Y,Occupied,,,,,,,,,, ‹¨«626.50 ,
30176,Primesight Limited,"Advert Right Yd0701018056, Gable Barkerend Hotel, Barkerend Road, Bradford, BD3 9BD",BD3 9BD,53.79619,-1.74215,1999-04-01,275,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«135.03 ,
30178,Industrial Water Jetting Systems Limited,"Unit 3 Bridgeway, Knowles Lane, Bradford, BD4 9AE",BD4 9AE,53.77402,-1.71671,1998-08-21,39000,CW,WAREHOUSE AND PREMISES,2017-03-27,Y,Occupied,,,,,,,,,," ‹¨«19,149.00 ",
30193,Jcdecaux Uk Ltd,"Advert Right No 0133 Adj 93, Listerhills Road, Bradford, BD7 1JT",BD7 1JT,53.79336,-1.76995,1998-06-01,1025,CA,ADVERTISING RIGHT AND PREMISES,1998-06-01,Y,Occupied,,,,,,,,,, ‹¨«503.28 ,
30199,Queensgate Leisure Services Limited,"97-99, Godwin Street, Bradford, BD1 3PP",BD1 3PP,53.79566,-1.75523,1997-03-01,9100,LT1,AMUSEMENT ARCADE AND PREMISES,1997-03-01,Y,Occupied,,,,,,,,,," ‹¨«4,468.10 ",
30203,Cytec Process Materials (Keighley) Limited,"500, Bradford Road, Sandbeds, Keighley, BD20 5NG",BD20 5NG,53.86536,-1.85524,1999-11-05,97500,IF,FACTORY AND PREMISES,1999-11-05,Y,Occupied,,,,,,,,,," ‹¨«49,140.00 ",
30211,Greenwood & Blackburn Engineering Limited,"Unit 12-13a, Black Dyke Mills, Brighouse Road, Queensbury, BD13 1QA",BD13 1QA,53.76803,-1.84337,1998-11-01,9200,IF3,WORKSHOP AND PREMISES,1998-11-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
30212,Lowry Partnership,"Part 16 1st Floor, Black Dyke Mills, Brighouse Road, Queensbury, BD13 1QA",BD13 1QA,53.76803,-1.84337,1998-11-01,7300,CW,WAREHOUSE AND PREMISES,2012-06-01,,Empty,Exempt Listed Building,29/08/2018,,,,,,,, ‹¨«-   ,
30213,Lowry Partnership,"Part 22 1st Floor, Black Dyke Mills, Brighouse Road, Queensbury, BD13 1QA",BD13 1QA,53.76803,-1.84337,1998-11-01,2400,CW3,STORE AND PREMISES,2012-06-01,,Empty,Exempt Listed Building,01/04/2016,,,,,,,, ‹¨«-   ,
30218,,"Love Apple Cafe, 34, Great Horton Road, Bradford, BD7 1AL",BD7 1AL,53.79151,-1.75885,1999-05-13,21000,CL,PUBLIC HOUSE AND PREMISES,2010-06-01,,Empty,Empty Charge Retail,01/09/2018,,,,,,,," ‹¨«10,584.00 ",
30223,,"19, Devonshire Street, Keighley, BD21 2BH",BD21 2BH,53.86736,-1.91142,1999-02-22,6600,CO,OFFICES AND PREMISES,2001-06-12,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
30224,Licensed Tyres Limited,"Unit C2, Enterprise Way, Bradford Road, Idle, Bradford, BD10 8EW",BD10 8EW,53.82589,-1.7314,1999-09-01,5900,CW,WAREHOUSE AND PREMISES,2016-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2016,,,,,, ‹¨«-   ,
30226,Walkglade Limited & Hamilton Scott Estates Limited,"44, Chapel Street, Bradford, BD1 5BY",BD1 5BY,53.79521,-1.74472,1999-10-18,11500,IF3,WORKSHOP AND PREMISES,2007-11-13,,Empty,Exempt Listed Building,13/11/2007,,,,,,,, ‹¨«-   ,
30227,Elvaston Properties Limited,"(Office Ugf), Park View Mills, Wibsey Park Avenue, Bradford, BD6 3QA",BD6 3QA,53.76718,-1.78309,1999-01-15,980,CO,OFFICES AND PREMISES,1999-01-15,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
30239,Melrose Interiors Limited,"Allerton Mills, Allerton Road, Bradford, BD15 7QX",BD15 7QX,53.80333,-1.81774,1998-12-10,90500,IF,FACTORY AND PREMISES,1998-12-10,Y,Occupied,,,,,,,,,," ‹¨«45,612.00 ",
30241,Bjs Distribution Storage And Couriers Limited,"Unit 10, Quality Foods Industrial Park, Ounsworth Street, Off Wakefield Road, Bradford, BD4 8QS",BD4 8QS,53.78151,-1.73103,1999-12-14,72000,IF,FACTORY AND PREMISES,2018-09-19,Y,Occupied,,,,,,,,,," ‹¨«36,288.00 ",
30252,Traditional Properties Limited,"2nd Floor, Greengates Cottage Aka Weavers Cottage, 830, Harrogate Road, Bradford, BD10 0RA",BD10 0RA,53.83181,-1.71068,2000-01-10,0,CO,,2017-02-24,,Empty,Exempt Listed Building,24/02/2017,,,,,,,, ‹¨«-   ,
30259,,"Unit 22, Market Hall, Westgate, Shipley, BD18 3QU",BD18 3QU,53.83411,-1.77776,1999-08-21,1750,CS,SHOP AND PREMISES,2003-08-09,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
30264,Telefonica Uk Limited,"Telecommunication Mast Site No, 1713, Cutler Heights Lane, Bradford, BD4 9HU",BD4 9HU,53.78042,-1.7154,1995-08-07,10000,MT1,COMMUNICATION STATION AND PREMISES,2005-04-01,Y,Occupied,,,,,,,,,," ‹¨«4,910.00 ",
30277,,"23, Girlington Road, Bradford, BD8 9NL",BD8 9NL,53.79991,-1.78637,1999-08-01,3400,IF3,WORKSHOP AND PREMISES,2001-06-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
30280,,"25, Girlington Road, Bradford, BD8 9NL",BD8 9NL,53.79991,-1.78637,1999-08-01,3400,IF3,WORKSHOP AND PREMISES,2014-11-01,Y,Occupied,,,Small Business Rates Relief,01/11/2014,,,,,, ‹¨«-   ,
30281,,"Unit 8 At, 935, Leeds Road, Bradford, BD3 8HD",BD3 8HD,53.79662,-1.71332,1999-07-08,1975,IF3,WORKSHOP AND PREMISES,2017-09-01,Y,Occupied,,,Small Business Rates Relief,01/09/2017,,,,,, ‹¨«-   ,
30285,,"Unit 1 R-O, 47, Otley Road (East), Baildon, BD17 7PU",BD17 7PU,53.84977,-1.74775,1999-09-01,2175,IF3,,2018-01-03,Y,Occupied,,,Small Business Rates Relief,03/01/2018,,,,,, ‹¨«-   ,
30286,,"Unit 2, R-O, 47, Otley Road (East), Baildon, BD17 7PU",BD17 7PU,53.84977,-1.74775,1999-09-01,2175,IF3,WORKSHOP AND PREMISES,2015-06-29,Y,Occupied,,,Small Business Rates Relief,29/06/2015,,,,,, ‹¨«-   ,
30287,,"Basement Floor, 15, Mansfield Road, Bradford, BD8 7LY",BD8 7LY,53.80852,-1.76908,1999-09-30,4950,CW3,STORE AND PREMISES,2008-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2008,,,,,, ‹¨«-   ,
30289,Brooks Meeting Mill Limited,"Brooks Meeting Mill, West Shaw, Oxenhope, Keighley, BD22 9QR",BD22 9QR,53.81148,-1.96251,1999-05-01,0,IF3,,2017-01-27,,Empty,Exempt below RV,20/11/2017,,,,,,,, ‹¨«-   ,
30293,,"Ground Floor Offices Unit 1, Brick Lane Mills, 298, Thornton Road, Bradford, BD8 8JZ",BD8 8JZ,53.79839,-1.77241,1999-09-01,3950,CO,OFFICES AND PREMISES,2017-07-04,,Empty,Exempt Listed Building,04/07/2017,,,,,,,, ‹¨«-   ,
30295,,"Ground Floor, 15, Mansfield Road, Bradford, BD8 7LY",BD8 7LY,53.80852,-1.76908,1999-09-30,10250,CW3,STORE AND PREMISES,1999-09-30,Y,Occupied,,,Small Business Rates Relief,01/04/2008,,,,,, ‹¨«-   ,
30298,Pinnacle (Bradford) Limited In Administration,"Suite A, Pt 4th Floor Arndale House, 4, Charles Street, Bradford, BD1 1EJ",BD1 1EJ,53.79432,-1.75129,1999-03-25,0,CO,,2015-07-20,,Empty,Exempt below RV,01/10/2015,,,,,,,, ‹¨«-   ,
30301,Oasis Dental Care Limited,"32-34, Devonshire Street, Keighley, BD21 2AU",BD21 2AU,53.8677,-1.91158,1999-09-01,17750,MH,SURGERY AND PREMISES,2001-05-25,Y,Occupied,,,,,,,,,," ‹¨«8,715.25 ",
30302,Martin Gaffney Legal Services Limited,"1, Crescent Terrace, Ilkley, LS29 8DL",LS29 8DL,53.92605,-1.82199,1999-10-20,3750,CO,OFFICES AND PREMISES,2011-12-01,Y,Occupied,,,,,,,,,," ‹¨«1,841.25 ",
30303,Jcdecaux Uk Ltd,"Advert Right No 62, Ivegate, Bradford, BD1 1SQ",BD1 1SQ,53.79383,-1.75446,1996-04-17,1200,CA,ADVERTISING RIGHT AND PREMISES,2019-04-01,Y,Occupied,,,,,,,,,, ‹¨«419.82 ,
30305,Jcdecaux Uk Ltd,"Advert Right No 74, Burnett Street, Bradford, BD1 5BJ",BD1 5BJ,53.79532,-1.74576,1998-04-05,1200,CA,ADVERTISING RIGHT AND PREMISES,2019-04-01,Y,Occupied,,,,,,,,,, ‹¨«419.82 ,
30309,Orange Personal Communications Services Limited,"Telecommunication Station Site, No Wyk7035, Town Gate, Wyke, Bradford, BD12 9NT",BD12 9NT,53.74018,-1.7685,1998-04-01,5300,MT1,COMMUNICATION STATION AND PREMISES,1998-04-01,,Empty,Exempt Telecommunication Mast,24/06/2014,,,,,,,, ‹¨«-   ,
30310,Orange Personal Communications Services Limited,"Telecomm Site Ref Wyk7015(A), Sunbridge Road, Bradford, BD1 2AA",BD1 2AA,53.79372,-1.75469,1998-04-01,2500,MT1,COMMUNICATION STATION AND PREMISES,1998-04-01,Y,Occupied,,,,,,,,,," ‹¨«1,227.50 ",
30312,Orange Personal Communications Services Limited,"Telecomm Mast Site, Ref Wyk7012(A), Westgate, Bradford, BD1 2RB",BD1 2RB,53.79608,-1.75829,1995-04-01,4300,MT1,COMMUNICATION STATION AND PREMISES,1995-04-01,,Empty,Exempt Telecommunication Mast,22/02/2012,,,,,,,, ‹¨«-   ,
30313,Orange Personal Communications Services Limited,"Telecomm Mast Site Refwyk 7018, (A), Bridge Street, Bradford, BD1 1JU",BD1 1JU,53.79196,-1.75109,1995-04-01,4300,MT1,COMMUNICATION STATION AND PREMISES,1995-04-01,,Empty,Exempt Telecommunication Mast,31/01/2012,,,,,,,, ‹¨«-   ,
30314,Primesight Limited,"Advert Right Yd0701039007, O-S, 521, Leeds Road, Idle, Bradford, BD10 8JZ",BD10 8JZ,53.84241,-1.73585,1999-04-01,200,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«98.20 ,
30315,Jcdecaux Uk Ltd,"Advert Right No 70, Shipley-Airedale Road, Bradford, BD1 4AT",BD1 4AT,53.79721,-1.7496,1998-04-05,1200,CA,ADVERTISING RIGHT AND PREMISES,2019-04-01,Y,Occupied,,,,,,,,,, ‹¨«419.82 ,
30324,Bht Early Education And Training,"16, Teasdale Street, Bradford, BD4 7QJ",BD4 7QJ,53.77696,-1.72948,2000-01-18,10500,EN1,DAY NURSERY AND PREMISES,2015-01-09,Y,Occupied,,,Mandatory Charity Relief,06/07/2015,,,,,," ‹¨«1,034.87 ",
30325,,"Car Parking Bay No 1, West Riding House, 41, Cheapside, Bradford, BD1 4HP",BD1 4HP,53.79599,-1.753,1998-11-06,600,CP1,CAR PARKING SPACE AND PREMISES,2011-04-01,Y,Occupied,,,,,,,,,, ‹¨«294.60 ,
30326,,"Car Parking Bay No 2, West Riding House, 41, Cheapside, Bradford, BD1 4HP",BD1 4HP,53.79599,-1.753,1998-11-06,600,CP1,CAR PARKING SPACE AND PREMISES,2011-04-01,Y,Occupied,,,,,,,,,, ‹¨«294.60 ,
30327,,"Car Parking Bay No 5, West Riding House, 41, Cheapside, Bradford, BD1 4HR",BD1 4HR,53.79561,-1.75257,1998-11-06,600,CP1,CAR PARKING SPACE AND PREMISES,2012-07-24,Y,Occupied,,,,,,,,,, ‹¨«294.60 ,
30328,,"Car Parking Bay No 10, West Riding House, 41, Cheapside, Bradford, BD1 4HR",BD1 4HR,53.79561,-1.75257,1998-11-06,600,CP1,CAR PARKING SPACE AND PREMISES,2010-04-01,Y,Occupied,,,,,,,,,, ‹¨«294.60 ,
30329,,"Car Parking Bay No 11, West Riding House, 41, Cheapside, Bradford, BD1 4HR",BD1 4HR,53.79561,-1.75257,1998-11-06,600,CP1,CAR PARKING SPACE AND PREMISES,2006-11-26,,Empty,Exempt below RV,01/09/2016,,,,,,,, ‹¨«-   ,
30331,,"112, City Road, Bradford, BD8 8JT",BD8 8JT,53.79836,-1.76953,1999-04-01,4050,CS,SHOP AND PREMISES,2009-02-02,Y,Occupied,,,Small Business Rates Relief,10/04/2009,,,,,, ‹¨«-   ,
30342,Lowry Partnership,"Unit 13, Black Dyke Mills, Brighouse Road, Queensbury, BD13 1QA",BD13 1QA,53.76803,-1.84337,1999-04-01,8000,IF3,WORKSHOP AND PREMISES,2012-06-01,,Empty,Exempt Listed Building,11/06/2019,,,,,,,, ‹¨«-   ,
30347,The Lion Strength & Fitness Academy,"Suite 16 Unit 1, Robin Mills, Leeds Road, Idle, Bradford, BD10 9TE",BD10 9TE,53.83399,-1.71714,1999-11-01,2000,CO,OFFICE AND PREMISES,2017-05-01,Y,Occupied,,,Mandatory Charity Relief,01/05/2017,,,,,, ‹¨«201.60 ,
30348,Set Visions Limited,"Suite 20 Unit 1, Robin Mills, Leeds Road, Idle, Bradford, BD10 9TE",BD10 9TE,53.83399,-1.71714,1999-09-01,1625,CO,OFFICE AND PREMISES,2014-07-01,Y,Occupied,,,,,,,,,, ‹¨«797.88 ,
30349,Set Visions Limited,"Suite 21 Unit 1, Robin Mills, Leeds Road, Idle, Bradford, BD10 9TE",BD10 9TE,53.83399,-1.71714,1999-09-01,1175,CO,OFFICE AND PREMISES,2015-11-01,Y,Occupied,,,,,,,,,, ‹¨«576.93 ,
30352,Leemark Control Systems Limited,"Suite 7 Unit 1, Robin Mills, Leeds Road, Idle, Bradford, BD10 9TE",BD10 9TE,53.83399,-1.71714,1999-09-01,1975,CO,,2007-05-01,Y,Occupied,,,Small Business Rates Relief,01/06/2007,,,,,, ‹¨«-   ,
30355,,"The Old Fire Station, 29a, Town Lane, Idle, Bradford, BD10 8NT",BD10 8NT,53.83847,-1.73258,2000-02-01,12000,EP,DANCE SCHOOL,2000-02-01,Y,Occupied,,,Small Business Rates Relief,01/03/2017,,,,,, ‹¨«-   ,
30356,The Bridge Project,"29-37, Salem Street, Bradford, BD1 4QH",BD1 4QH,53.79788,-1.75527,1999-06-14,27500,CO,OFFICES AND PREMISES,1999-06-14,Y,Occupied,,,Mandatory Charity Relief,14/06/1999,,,,,," ‹¨«2,904.85 ",
30357,British Telecommunications Plc,"British Telecom, Luton Street, West Lane, Keighley, BD21 2LE",BD21 2LE,53.86669,-1.91371,1999-07-01,3050,CP,,1999-07-01,Y,Occupied,,,,,,,,,," ‹¨«1,497.55 ",
30359,Skipton Properties Limited,"Unit 1d, Thomas James Centre, Bridgehouse Mills, Station Road, Haworth, Keighley, BD22 8NL",BD22 8NL,53.83013,-1.9481,1999-10-01,4600,CW,WAREHOUSE AND PREMISES,2015-10-16,,Empty,Exempt Listed Building,16/10/2015,,,,,,,, ‹¨«-   ,
30362,Sycamore Construction (Oakworth) Limited,"Yard At, Leeds Street, Keighley, BD21 2LQ",BD21 2LQ,53.86559,-1.91336,1999-10-01,8800,CW2,STORAGE DEPOT AND PREMISES,1999-10-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
30363,Primesight Limited,"Advertising Right Yd0701018039, At, 447, Huddersfield Road, Wyke, Bradford, BD12 8NJ",BD12 8NJ,53.74551,-1.76771,1999-04-01,275,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«96.88 ,
30365,Primesight Limited,"Advertising Right Yd0701018004, Cnr Of Reevy Road West Outside, 235, Cooper Lane, Bradford, BD6 3NT",BD6 3NT,53.76292,-1.80616,1999-04-01,400,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«193.76 ,
30367,Primesight Limited,"Advert Right Yd0701018045, Outside, 328, Harrogate Road, Bradford, BD2 3TB",BD2 3TB,53.8191,-1.71651,1999-04-01,300,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«129.18 ,
30372,Primesight Limited,"Advert Right Yduk0701018047, O-S Lloyds Pharmacy, Folly Hall Road, Bradford, BD6 1UL",BD6 1UL,53.76572,-1.77577,1999-04-01,350,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«171.85 ,
30374,Primesight Limited,"Advert Right Yd0701018034, O-S, 1352, Leeds Road, Bradford, BD3 8ND",BD3 8ND,53.79626,-1.71255,1999-04-01,275,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«135.03 ,
30377,,"Basement, 15, Carroll Street, Bradford, BD3 9QD",BD3 9QD,53.79193,-1.74224,1999-12-03,6600,IF3,WORKSHOP AND PREMISES,2013-06-25,Y,Occupied,,,,,,,,,, ‹¨«-   ,
30378,Primesight Limited,"Advertising Right Yd0701018072, Outside Save Pfs, Killinghall Road, Bradford, BD3 8DN",BD3 8DN,53.7938,-1.71955,1999-04-01,900,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«387.53 ,
30379,,"Ground Floor, 15, Carroll Street, Bradford, BD3 9QD",BD3 9QD,53.79193,-1.74224,1999-12-03,18250,IF3,WORKSHOP AND PREMISES,2013-06-25,Y,Occupied,,,,,,,,,, ‹¨«-   ,
30380,Primesight Limited,"Advert Right Yd0701018041, Outside, 34, Queens Road, Bradford, BD8 7BT",BD8 7BT,53.80743,-1.7627,1999-04-01,275,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«135.03 ,
30382,Primesight Limited,"Advertising Right Yd0701018014, Outside, 127, Killinghall Road, Bradford, BD2 4SD",BD2 4SD,53.80615,-1.72726,1999-04-01,550,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«258.35 ,
30383,Primesight Limited,"Advert Right Yd0701041001, At Corner Of Morton Lane, Keighley Road, Crossflatts, Bingley, BD16 2HH",BD16 2HH,53.85997,-1.84596,1999-04-01,550,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«270.05 ,
30386,,"Workshop W8, Unit 2, Robin Mills, Leeds Road, Idle, Bradford, BD10 9TE",BD10 9TE,53.83399,-1.71714,1998-01-01,4050,IF3,WORKROOMS AND PREMISES,2008-12-15,Y,Occupied,,,Small Business Rates Relief,15/12/2008,,,,,, ‹¨«-   ,
30387,Pix-Cgi Ltd,"Workshop W9, Unit 2, Robin Mills, Leeds Road, Idle, Bradford, BD10 9TE",BD10 9TE,53.83399,-1.71714,1998-01-01,3050,IF3,WORKSHOP AND PREMISES,2017-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,,,, ‹¨«-   ,
30388,Primesight Limited,"Advertising Right Yd070108049, Outside, 965, Thornton Road, Bradford, BD8 0JD",BD8 0JD,53.79552,-1.80605,1999-04-01,550,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«258.35 ,
30389,Primesight Limited,"Advert Right Yduk0701041001, O-S, 28, Keighley Road, Crossflatts, Bingley, BD16 2EZ",BD16 2EZ,53.8618,-1.84581,1999-04-01,550,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«270.05 ,
30390,Primesight Limited,"Advert Right Yd0701022000, O-S, 329, Bradford Road, Riddlesden, Keighley, BD21 4EZ",BD21 4EZ,53.87679,-1.88308,1999-03-01,175,CA,ADVERTISING RIGHT AND PREMISES,1999-03-01,Y,Occupied,,,,,,,,,, ‹¨«85.93 ,
30391,Primesight Limited,"Advert Right Yduk0701022001, O-S, 65, Bradford Road, Cottingley, Bingley, BD16 1DT",BD16 1DT,53.84286,-1.83237,1999-04-01,175,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«85.93 ,
30395,Dalec Uk Ltd,"91, Highfield Lane, Keighley, BD21 2JA",BD21 2JA,53.87077,-1.92019,1999-04-01,7800,IF3,WORKSHOP AND PREMISES,2007-08-24,Y,Occupied,,,Small Business Rates Relief,01/09/2007,,,,,, ‹¨«-   ,
30397,Primesight Limited,"Advert Right Yd0701018081, O-S Save Garage, New Line, Bradford, BD10 0BJ",BD10 0BJ,53.82946,-1.70773,1999-04-01,900,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«387.53 ,
30406,Primesight Limited,"Advert Right Yd0701018048, At, 1478, Thornton Road, Thornton, Bradford, BD13 3DG",BD13 3DG,53.79153,-1.83059,1999-04-01,275,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«96.88 ,
30407,Primesight Limited,"Advert Right Yd0701018050, At, 403, Thornton Road, Thornton, Bradford, BD13 3JN",BD13 3JN,53.79046,-1.85362,1999-04-01,275,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«96.90 ,
30408,Primesight Limited,"Advert Right Yd0701039000, O-S, 280, Leeds Road, Shipley, BD18 1DZ",BD18 1DZ,53.83662,-1.75812,1999-04-01,850,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«387.53 ,
30410,Primesight Limited,"Advert Right Yd0701039006, O-S, 485, Leeds Road, Idle, Bradford, BD10 8LD",BD10 8LD,53.84261,-1.73378,1999-04-01,200,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«98.20 ,
30414,Primesight Limited,"Advertising Right Yd0701018068, Outside Queens Hotel, Thornton Road, Bradford, BD8 0HH",BD8 0HH,53.79612,-1.8026,1999-04-01,1350,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«484.41 ,
30417,Primesight Limited,"Advertising Right, Yd0701018092 Outside, 111, Whetley Lane, Bradford, BD8 9DN",BD8 9DN,53.80274,-1.78116,1999-04-01,800,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«322.94 ,
30420,Primesight Limited,"Advert Right Yd070103900 O-S, 51, Bradford Road, Shipley, BD18 3DS",BD18 3DS,53.83136,-1.7834,1999-04-01,550,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«258.35 ,
30427,Primesight Limited,"Advert Right Yd0701018067, At Low Moor Wmc, Huddersfield Road, Low Moor, Bradford, BD12 0TQ",BD12 0TQ,53.75661,-1.76563,1999-04-01,550,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«258.35 ,
30431,Jd Sports Fashion Distribution Limited,"57, Kirkgate, Bradford, BD1 1PZ",BD1 1PZ,53.79436,-1.75452,1999-12-02,98000,CS,,1999-12-02,Y,Occupied,,,,,,,,,," ‹¨«40,880.94 ",
30432,Thomas Cook Retail Limited,"59, Kirkgate, Bradford, BD1 1PZ",BD1 1PZ,53.79436,-1.75452,2000-01-07,44250,CS,,2016-11-27,,Empty,Empty Charge Retail,27/02/2017,,,,,,,," ‹¨«22,302.00 ",
30433,Primesight Limited,"Advert Right Yd0701018024, Gable, 671, Great Horton Road, Bradford, BD7 4DZ",BD7 4DZ,53.77726,-1.7908,1999-04-01,550,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«258.35 ,
30435,Wibsey Perseverance Mill Company Limited(The),"Perseverance Mill, Mill Street, Wibsey, Bradford, BD6 3BQ",BD6 3BQ,53.7688,-1.78524,1998-06-08,32500,IF,MILL AND PREMISES,1998-06-08,Y,Occupied,,,,,,,,,," ‹¨«15,957.50 ",
30439,Primesight Limited,"Advert Right Yd0701091000, Gable, 39, Kirkgate, Silsden, Keighley, BD20 0AJ",BD20 0AJ,53.91254,-1.93784,1999-04-01,200,CA,ADVERTISING RIGHT AND PREMISES,1999-04-01,Y,Occupied,,,,,,,,,, ‹¨«98.20 ,
30441,,"21, Arctic Street, Keighley, BD20 6AR",BD20 6AR,53.87833,-1.91174,1999-07-01,2000,CS,SHOP AND PREMISES,2009-04-01,,Empty,Exempt below RV,01/01/2016,,,,,,,, ‹¨«-   ,
